Campaign,Campaign type,Day,Currency code,Budget,Account name,Customer ID,Cost,Impr.,Clicks
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,GBP,40,Bioglan,784-415-3148,44.49,"1,118",113
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,GBP,26.66,Bioglan,784-415-3148,26.6,"7,429",13
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,05/09/2024,GBP,43.33,Bioglan,784-415-3148,2.58,"9,619",54
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,GBP,50,Bioglan,784-415-3148,52.99,"1,482",135
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,GBP,40,Bioglan,784-415-3148,39.83,"6,834",12
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,05/09/2024,GBP,27.58,Bioglan,784-415-3148,0,1,0
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,05/09/2024,GBP,34.48,Bioglan,784-415-3148,68.95,"1,404",196
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,GBP,26,Sambucol,521-119-4345,177.72,"1,281",162
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,GBP,26,Sambucol,521-119-4345,92.79,"31,876",39
NEW: PCM- VA+CC - 2024-25,Display,05/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,0.83,"1,175",19
PCM_Depilatories_24-25,Display,05/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,2.36,"1,336",49
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,06/09/2024,GBP,20,Bioglan,784-415-3148,40.11,"163,458",483
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,GBP,40,Bioglan,784-415-3148,37.56,903,99
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,GBP,26.66,Bioglan,784-415-3148,27.88,"8,928",17
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,06/09/2024,GBP,43.33,Bioglan,784-415-3148,83.73,"385,821","1,151"
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,GBP,50,Bioglan,784-415-3148,47.71,"1,224",127
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,GBP,40,Bioglan,784-415-3148,42,"6,792",11
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,06/09/2024,GBP,27.58,Bioglan,784-415-3148,0.07,87,1
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,06/09/2024,GBP,34.48,Bioglan,784-415-3148,37.64,746,130
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,GBP,26,Sambucol,521-119-4345,176,"1,320",179
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,GBP,26,Sambucol,521-119-4345,93.03,"30,847",43
NEW: PCM- VA+CC - 2024-25,Display,06/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,41.33,"43,821",577
PCM_Depilatories_24-25,Display,06/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,59.44,"41,676",843
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,07/09/2024,GBP,20,Bioglan,784-415-3148,22.36,"74,373",386
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,GBP,40,Bioglan,784-415-3148,38.34,991,103
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,GBP,26.66,Bioglan,784-415-3148,27.99,"7,577",25
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,07/09/2024,GBP,43.33,Bioglan,784-415-3148,47.92,"193,549",525
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,GBP,50,Bioglan,784-415-3148,50.61,"1,322",135
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,GBP,40,Bioglan,784-415-3148,41.9,"7,154",11
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,07/09/2024,GBP,27.58,Bioglan,784-415-3148,53.84,"13,233",673
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,07/09/2024,GBP,34.48,Bioglan,784-415-3148,43.13,967,147
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,GBP,26,Sambucol,521-119-4345,109.17,986,132
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,GBP,26,Sambucol,521-119-4345,92.48,"32,150",71
NEW: PCM- VA+CC - 2024-25,Display,07/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,42.75,"34,150",475
PCM_Depilatories_24-25,Display,07/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,59.26,"47,556",812
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,08/09/2024,GBP,20,Bioglan,784-415-3148,20.7,"65,935",380
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,GBP,40,Bioglan,784-415-3148,41.22,"1,124",109
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,GBP,26.66,Bioglan,784-415-3148,27.86,"9,782",16
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,08/09/2024,GBP,43.33,Bioglan,784-415-3148,44.13,"180,646",639
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,GBP,50,Bioglan,784-415-3148,43.5,"1,438",120
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,GBP,40,Bioglan,784-415-3148,41.53,"7,124",19
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,08/09/2024,GBP,27.58,Bioglan,784-415-3148,52.99,"17,479",752
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,08/09/2024,GBP,34.48,Bioglan,784-415-3148,43.41,"1,141",148
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,GBP,26,Sambucol,521-119-4345,115.72,"1,511",154
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,GBP,26,Sambucol,521-119-4345,92.56,"34,844",60
NEW: PCM- VA+CC - 2024-25,Display,08/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,42.78,"18,945",872
PCM_Depilatories_24-25,Display,08/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,54.38,"47,090",828
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,09/09/2024,GBP,20,Bioglan,784-415-3148,1.4,"4,562",28
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,40,Bioglan,784-415-3148,49.01,"1,118",133
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,26.66,Bioglan,784-415-3148,27.81,"11,780",29
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,09/09/2024,GBP,43.33,Bioglan,784-415-3148,1.34,"4,165",33
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,50,Bioglan,784-415-3148,59.12,"1,669",153
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,40,Bioglan,784-415-3148,41.73,"6,824",10
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,09/09/2024,GBP,27.58,Bioglan,784-415-3148,13.81,"5,000",206
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,09/09/2024,GBP,34.48,Bioglan,784-415-3148,40.2,969,143
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,26,Sambucol,521-119-4345,105.9,"1,377",144
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,26,Sambucol,521-119-4345,92.66,"31,741",58
NEW: PCM- VA+CC - 2024-25,Display,09/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,1.65,"4,154",31
PCM_Depilatories_24-25,Display,09/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,35.2,"39,685",566
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,10/09/2024,GBP,20,Bioglan,784-415-3148,1.21,"7,841",25
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,40,Bioglan,784-415-3148,44.08,"1,174",113
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,26.66,Bioglan,784-415-3148,27.58,"6,902",22
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,10/09/2024,GBP,43.33,Bioglan,784-415-3148,2.16,"5,228",44
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,50,Bioglan,784-415-3148,61.17,"1,518",149
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,40,Bioglan,784-415-3148,41.71,"6,874",10
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,10/09/2024,GBP,27.58,Bioglan,784-415-3148,55.03,"8,930",822
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,10/09/2024,GBP,34.48,Bioglan,784-415-3148,38.62,923,143
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,26,Sambucol,521-119-4345,104.59,"1,208",143
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,26,Sambucol,521-119-4345,92.03,"32,330",54
NEW: PCM- VA+CC - 2024-25,Display,10/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,2.48,"3,858",45
PCM_Depilatories_24-25,Display,10/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,36.43,"34,798",573
Brand Search,Search,01/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,7.74,22,18
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,01/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,19.69,114,16
PCM - Search - Lynwood Care Home - Brand 55+,Search,01/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,12.75,36,9
PCM - Search - Lynwood Care Home - Category - 35-54,Search,01/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,13.14,46,4
PCM - Search - Lynwood Care Home - Category 55+,Search,01/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,9.83,27,5
PCM - Search - Town Thorns Care Home - Brand,Search,01/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,13.12,75,7
PCM - Search - Town Thorns Care Home - Category,Search,01/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,17.88,73,7
Brand Search,Search,02/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,30.22,47,33
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,02/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,9.73,87,9
PCM - Search - Lynwood Care Home - Brand 55+,Search,02/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,6.79,31,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,02/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,12.59,62,4
PCM - Search - Lynwood Care Home - Category 55+,Search,02/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,7.69,12,2
PCM - Search - Town Thorns Care Home - Brand,Search,02/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,8.04,33,4
PCM - Search - Town Thorns Care Home - Category,Search,02/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,15.83,59,7
Brand Search,Search,03/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,24.39,38,23
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,03/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,10.22,49,5
PCM - Search - Lynwood Care Home - Brand 55+,Search,03/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,0,29,0
PCM - Search - Lynwood Care Home - Category - 35-54,Search,03/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,8.04,93,6
PCM - Search - Lynwood Care Home - Category 55+,Search,03/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,0,12,0
PCM - Search - Town Thorns Care Home - Brand,Search,03/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,8.1,8,4
PCM - Search - Town Thorns Care Home - Category,Search,03/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,13.93,74,10
Brand Search,Search,04/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,15.58,40,23
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,04/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,7.73,126,4
PCM - Search - Lynwood Care Home - Brand 55+,Search,04/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,11.44,113,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,04/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,8.21,58,4
PCM - Search - Lynwood Care Home - Category 55+,Search,04/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,12.81,54,5
PCM - Search - Town Thorns Care Home - Brand,Search,04/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,5.54,31,10
PCM - Search - Town Thorns Care Home - Category,Search,04/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,16.08,116,6
Brand Search,Search,05/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,18.42,34,21
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,05/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,16.86,148,9
PCM - Search - Lynwood Care Home - Brand 55+,Search,05/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,10.87,15,3
PCM - Search - Lynwood Care Home - Category - 35-54,Search,05/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,17.46,173,7
PCM - Search - Lynwood Care Home - Category 55+,Search,05/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,9.66,76,5
PCM - Search - Town Thorns Care Home - Brand,Search,05/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,0,23,0
PCM - Search - Town Thorns Care Home - Category,Search,05/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,10.47,123,5
Brand Search,Search,06/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,15.89,33,19
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,06/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,9.56,51,7
PCM - Search - Lynwood Care Home - Brand 55+,Search,06/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,9.02,76,5
PCM - Search - Lynwood Care Home - Category - 35-54,Search,06/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,10.78,117,4
PCM - Search - Lynwood Care Home - Category 55+,Search,06/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,8.4,7,2
PCM - Search - Town Thorns Care Home - Brand,Search,06/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,21.74,46,6
PCM - Search - Town Thorns Care Home - Category,Search,06/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,12.46,85,6
Brand Search,Search,07/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,15.71,35,27
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,07/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,10.52,61,7
PCM - Search - Lynwood Care Home - Brand 55+,Search,07/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,11.71,6,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,07/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,17.93,32,3
PCM - Search - Lynwood Care Home - Category 55+,Search,07/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,5.96,26,3
PCM - Search - Town Thorns Care Home - Brand,Search,07/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,6.3,76,5
PCM - Search - Town Thorns Care Home - Category,Search,07/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,6.81,98,2
Brand Search,Search,08/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,17.28,31,22
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,08/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,1.65,47,2
PCM - Search - Lynwood Care Home - Brand 55+,Search,08/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,1.35,24,1
PCM - Search - Lynwood Care Home - Category - 35-54,Search,08/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,4.66,43,3
PCM - Search - Lynwood Care Home - Category 55+,Search,08/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,0,20,0
PCM - Search - Town Thorns Care Home - Brand,Search,08/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,11.51,42,4
PCM - Search - Town Thorns Care Home - Category,Search,08/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,10.46,48,6
The Very Hungry Caterpillar 2024,Search,08/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,0,1,0
Brand Search,Search,09/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,24.61,41,28
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,09/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,17,183,10
PCM - Search - Lynwood Care Home - Brand 55+,Search,09/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,3.19,39,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,09/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,5.01,33,4
PCM - Search - Lynwood Care Home - Category 55+,Search,09/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,14.19,26,4
PCM - Search - Town Thorns Care Home - Brand,Search,09/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,9.89,50,6
PCM - Search - Town Thorns Care Home - Category,Search,09/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,0.64,104,1
The Very Hungry Caterpillar 2024,Search,09/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,0,1,0
Brand Search,Search,10/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,14.2,30,16
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,10/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,11.19,94,5
PCM - Search - Lynwood Care Home - Brand 55+,Search,10/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,8.78,140,5
PCM - Search - Lynwood Care Home - Category - 35-54,Search,10/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,10.31,121,8
PCM - Search - Lynwood Care Home - Category 55+,Search,10/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,9.84,56,2
PCM - Search - Town Thorns Care Home - Brand,Search,10/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,3.03,61,2
PCM - Search - Town Thorns Care Home - Category,Search,10/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,24.64,148,7
The Very Hungry Caterpillar 2024,Search,10/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,1.41,2,1
PCM - Search - Lynwood Rentals - Brand,Search,01/09/2024,GBP,22.63,Lynwood,901-619-3253,1.39,11,4
PCM - Search - Lynwood Rentals - Brand,Search,02/09/2024,GBP,22.63,Lynwood,901-619-3253,0.54,13,3
PCM - Search - Lynwood Rentals - Brand,Search,09/09/2024,GBP,22.63,Lynwood,901-619-3253,0.5,38,1
PCM - Search - Lynwood Rentals - Brand,Search,10/09/2024,GBP,22.63,Lynwood,901-619-3253,45.2,121,10
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,02/09/2024,GBP,34,Haliborange - PCM,910-547-9147,40.17,"6,282",53
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,0.67,10,2
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,02/09/2024,GBP,86,Haliborange - PCM,910-547-9147,85.98,"25,708",88
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,03/09/2024,GBP,34,Haliborange - PCM,910-547-9147,36.76,"21,416",55
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,03/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,0.75,34,3
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,03/09/2024,GBP,86,Haliborange - PCM,910-547-9147,90.16,"31,284",104
