Account name,Customer ID,Campaign type,Campaign,Day,Currency code,Budget,Cost,Impr.,Clicks
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,11/10/2024,USD,322.58,21.76,42,21
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,10/10/2024,GBP,10.9,3,42,1
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,10/10/2024,GBP,10.9,16.25,61,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,10/10/2024,GBP,8.21,7.65,35,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,10/10/2024,GBP,12.32,11.49,27,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,10/10/2024,GBP,7.27,2.48,19,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,10/10/2024,GBP,7.27,0,18,0
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,10/10/2024,USD,322.58,16.81,30,17
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,09/10/2024,GBP,10.9,16.27,20,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,09/10/2024,GBP,10.9,0,57,0
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,09/10/2024,GBP,8.21,10.08,35,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,09/10/2024,GBP,12.32,4.6,55,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,09/10/2024,GBP,7.27,2.43,45,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,09/10/2024,GBP,7.27,7,69,2
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,09/10/2024,USD,322.58,26.35,37,28
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,08/10/2024,GBP,10.9,21.77,109,7
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,08/10/2024,GBP,10.9,7.62,130,4
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,08/10/2024,GBP,8.21,16.41,75,9
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,08/10/2024,GBP,12.32,14.65,82,5
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,08/10/2024,GBP,7.27,10.33,67,5
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,08/10/2024,GBP,7.27,7.41,79,3
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,08/10/2024,USD,322.58,49.27,54,44
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,07/10/2024,GBP,10.9,3.75,95,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,07/10/2024,GBP,10.9,9.2,110,7
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,07/10/2024,GBP,8.21,3.69,59,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,07/10/2024,GBP,12.32,13.39,120,5
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,07/10/2024,GBP,7.27,11.04,51,5
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,07/10/2024,GBP,7.27,10.28,22,2
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,07/10/2024,USD,322.58,39.49,56,37
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,The Very Hungry Caterpillar 2024,07/10/2024,USD,300,0,2,0
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,13/10/2024,GBP,32.25,41.48,852,139
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,13/10/2024,GBP,25.8,28.25,"6,259",586
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,13/10/2024,GBP,48.38,48.45,"12,494",22
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,13/10/2024,GBP,17.74,17.89,"57,074",337
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_instants_uk_display_cpc_traffic_oct_2024_,13/10/2024,GBP,26.35,0.97,629,6
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,12/10/2024,GBP,32.25,26.05,672,92
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,12/10/2024,GBP,25.8,32.76,"10,911",361
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,12/10/2024,GBP,48.38,47.04,"12,167",15
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,12/10/2024,GBP,17.74,18.59,"81,346",395
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,11/10/2024,GBP,32.25,32.42,725,105
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,11/10/2024,GBP,25.8,26.67,"6,481",284
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,11/10/2024,GBP,48.38,46.58,"11,988",18
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,11/10/2024,GBP,17.74,18.3,"126,135",438
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_instants_uk_display_cpc_traffic_oct_2024_,11/10/2024,GBP,26.35,5.89,"1,192",8
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,10/10/2024,GBP,32.25,64.87,"1,157",156
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,10/10/2024,GBP,25.8,22.71,"5,204",318
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,10/10/2024,GBP,48.38,52.91,"12,411",11
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,10/10/2024,GBP,17.74,17.36,"73,038",343
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_instants_uk_display_cpc_traffic_oct_2024_,10/10/2024,GBP,26.35,0,104,0
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,09/10/2024,GBP,32.25,15.66,387,51
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,09/10/2024,GBP,25.8,23.84,"5,935",528
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,09/10/2024,GBP,48.38,49.12,"10,976",16
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,09/10/2024,GBP,17.74,18.55,"105,002",364
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,08/10/2024,GBP,32.25,10.87,338,39
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,08/10/2024,GBP,25.8,25.57,"7,252",506
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,08/10/2024,GBP,48.38,49.22,"11,242",16
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,08/10/2024,GBP,17.74,17.36,"78,397",291
Bioglan,784-415-3148,Search Only,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,07/10/2024,GBP,32.25,32.71,732,107
Bioglan,784-415-3148,Display Only,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,07/10/2024,GBP,25.8,25.63,"6,821",444
Bioglan,784-415-3148,Video,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,07/10/2024,GBP,48.38,49.44,"11,093",17
Skin Doctors - PCM,393-022-8800,Display Only,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,07/10/2024,GBP,17.74,20.76,"58,043",263
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,13/10/2024,GBP,41.93,37.14,909,46
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,13/10/2024,GBP,32.25,34.5,"8,473",645
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,13/10/2024,GBP,80.64,81.09,"20,088",88
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,12/10/2024,GBP,41.93,34.46,740,42
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,12/10/2024,GBP,32.25,33.99,"23,903",373
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,12/10/2024,GBP,80.64,81.27,"22,010",72
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,11/10/2024,GBP,41.93,38.74,701,48
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,11/10/2024,GBP,32.25,34.55,"30,939",182
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,11/10/2024,GBP,80.64,81.34,"21,090",45
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,10/10/2024,GBP,41.93,42.2,782,53
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,10/10/2024,GBP,32.25,33.7,"6,046",135
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,10/10/2024,GBP,80.64,81.61,"19,845",63
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,09/10/2024,GBP,41.93,42.37,718,55
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,09/10/2024,GBP,32.25,29.86,"1,533",126
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,09/10/2024,GBP,80.64,81.63,"23,023",65
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,08/10/2024,GBP,41.93,44.46,785,56
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,08/10/2024,GBP,32.25,32.59,"1,316",120
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,08/10/2024,GBP,80.64,82.58,"27,122",68
Haliborange - PCM,910-547-9147,Search Only,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,07/10/2024,GBP,41.93,45.65,782,57
Haliborange - PCM,910-547-9147,Display Only,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,07/10/2024,GBP,32.25,37.04,"1,583",114
Haliborange - PCM,910-547-9147,Video,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,07/10/2024,GBP,80.64,81.84,"28,380",57
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,13/10/2024,GBP,15.3,2.38,41,5
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,13/10/2024,GBP,36,15.13,204,26
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,13/10/2024,GBP,21,9.53,68,12
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,13/10/2024,GBP,30,9.21,"1,973",14
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,12/10/2024,GBP,15.3,2.58,29,5
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,12/10/2024,GBP,36,15.1,199,28
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,12/10/2024,GBP,21,9.77,61,8
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,12/10/2024,GBP,30,2,"1,492",5
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,11/10/2024,GBP,15.3,2.29,29,3
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,11/10/2024,GBP,36,16.28,189,28
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,11/10/2024,GBP,21,4.64,51,7
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,11/10/2024,GBP,30,4.18,"1,136",10
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,10/10/2024,GBP,15.3,1.41,22,2
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,10/10/2024,GBP,36,19.91,223,39
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,10/10/2024,GBP,21,2.84,56,3
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,10/10/2024,GBP,30,0.9,"1,142",3
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,09/10/2024,GBP,15.3,3.93,38,4
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,09/10/2024,GBP,36,19.13,237,36
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,09/10/2024,GBP,21,9.18,80,10
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,09/10/2024,GBP,30,3.42,"1,016",9
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,08/10/2024,GBP,15.3,5.43,37,4
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,08/10/2024,GBP,36,20.48,291,36
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,08/10/2024,GBP,21,17.63,101,22
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,08/10/2024,GBP,30,4.03,"1,285",9
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Product,07/10/2024,GBP,15.3,1.33,43,3
BSSAA Limited,265-723-1290,Search Only,PCM - Search - General Brand,07/10/2024,GBP,36,33.83,497,56
BSSAA Limited,265-723-1290,Search Only,PCM - Search - Oral Solutions,07/10/2024,GBP,21,17.38,125,15
BSSAA Limited,265-723-1290,Shopping,Shopping - 2024-09-20,07/10/2024,GBP,30,2.27,"1,551",8
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,13/10/2024,GBP,5,5.43,32,9
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,13/10/2024,GBP,5,3.53,57,9
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,13/10/2024,GBP,2,1.99,"13,661",45
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,13/10/2024,GBP,2,2.02,"10,760",62
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,13/10/2024,GBP,5,4.75,"16,879",164
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,13/10/2024,GBP,2,2.08,"8,812",28
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,13/10/2024,GBP,2,2.01,"15,139",37
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,13/10/2024,GBP,2,2.04,"18,179",24
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,13/10/2024,GBP,5,5.16,"32,776",64
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,13/10/2024,GBP,5,5.27,"34,372",54
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,13/10/2024,GBP,5,4.9,"38,493",88
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,13/10/2024,GBP,5,5.06,"26,708",95
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,13/10/2024,GBP,16.12,19.68,723,54
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,12/10/2024,GBP,5,4.46,62,5
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,12/10/2024,GBP,5,3.94,54,8
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,12/10/2024,GBP,2,2.12,"9,900",40
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,12/10/2024,GBP,2,2.1,"12,649",50
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,12/10/2024,GBP,5,5.12,"19,883",146
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,12/10/2024,GBP,2,2.05,"9,169",39
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,12/10/2024,GBP,2,1.99,"11,616",36
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,12/10/2024,GBP,2,2.09,"11,482",26
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,12/10/2024,GBP,5,5.43,"30,775",62
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,12/10/2024,GBP,5,5.35,"28,595",47
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,12/10/2024,GBP,5,5.22,"33,092",94
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,12/10/2024,GBP,5,5.06,"28,707",99
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,12/10/2024,GBP,16.12,14.24,498,41
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,11/10/2024,GBP,5,5.74,33,8
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,11/10/2024,GBP,5,3.38,77,8
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,11/10/2024,GBP,2,3.08,"14,512",35
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,11/10/2024,GBP,2,2.08,"10,617",63
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,11/10/2024,GBP,5,5.57,"20,974",142
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,11/10/2024,GBP,2,1.98,"6,868",37
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,11/10/2024,GBP,2,1.96,"14,539",26
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,11/10/2024,GBP,2,1.91,"12,002",25
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,11/10/2024,GBP,5,5.55,"28,749",58
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,11/10/2024,GBP,5,5.49,"26,073",38
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,11/10/2024,GBP,5,6.82,"42,026",81
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,11/10/2024,GBP,5,4.92,"22,069",85
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,11/10/2024,GBP,16.12,21.33,554,59
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,10/10/2024,GBP,5,6.73,40,7
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,10/10/2024,GBP,5,5.69,98,11
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,10/10/2024,GBP,2,1.18,"8,423",24
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,10/10/2024,GBP,2,1.82,"9,506",51
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,10/10/2024,GBP,5,5.02,"15,090",148
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,10/10/2024,GBP,2,2.35,"11,635",49
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,10/10/2024,GBP,2,1.44,"3,876",23
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,10/10/2024,GBP,2,2.08,"15,333",37
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,10/10/2024,GBP,5,5.2,"21,075",58
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,10/10/2024,GBP,5,5.42,"28,491",42
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,10/10/2024,GBP,5,3.8,"28,401",73
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,10/10/2024,GBP,5,4.99,"24,682",86
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,10/10/2024,GBP,16.12,16.1,570,48
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,09/10/2024,GBP,5,9.4,68,8
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,09/10/2024,GBP,5,5.73,88,11
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,09/10/2024,GBP,2,1.79,"8,209",42
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,09/10/2024,GBP,2,1.98,"13,719",54
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,09/10/2024,GBP,5,4.81,"24,353",150
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,09/10/2024,GBP,2,1.85,"11,065",46
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,09/10/2024,GBP,2,2.07,"12,087",32
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,09/10/2024,GBP,2,2.16,"15,628",33
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,09/10/2024,GBP,5,4.84,"32,523",68
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,09/10/2024,GBP,5,3.85,"29,232",44
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,09/10/2024,GBP,5,5.13,"32,636",113
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,09/10/2024,GBP,5,5.03,"22,482",79
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,09/10/2024,GBP,16.12,9.91,470,31
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,08/10/2024,GBP,5,5.46,79,6
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,08/10/2024,GBP,5,5.2,104,9
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,08/10/2024,GBP,2,2.01,"7,615",55
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,08/10/2024,GBP,2,2.02,"10,509",62
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,08/10/2024,GBP,5,4.88,"19,550",143
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,08/10/2024,GBP,2,1.99,"12,212",51
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,08/10/2024,GBP,2,2.12,"11,888",29
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,08/10/2024,GBP,2,1.8,"13,106",32
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,08/10/2024,GBP,5,4.61,"33,721",75
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,08/10/2024,GBP,5,5.12,"16,886",66
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,08/10/2024,GBP,5,4.76,"33,197",132
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,08/10/2024,GBP,5,5.28,"35,324",67
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,08/10/2024,GBP,16.12,18.71,612,57
Cherry Godfrey Group,207-885-5773,Search Only,[S] Jsy - PLoans,07/10/2024,GBP,5,3.85,72,7
Cherry Godfrey Group,207-885-5773,Search Only,[S] IOM - PLoans,07/10/2024,GBP,5,7.06,106,11
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Guernsey 2022,07/10/2024,GBP,2,2.12,"11,308",57
Cherry Godfrey Group,207-885-5773,Display Only,Jersey LInsurance 2022,07/10/2024,GBP,2,2.12,"12,437",60
